title,content,sentiment
Prompt service,"Prompt service, attentive sales professional, and a sharp looking product delivered ahead of schedule.",neutral
Cipriano was great to work with.,"Date of experience: March 12, 2020",neutral
Very patient service from Jeremy…,Very patient service from Jeremy Hartman!!!,neutral
Very Responsive and Fast service!,Stellar service and regardless of order size. High-quality materials! I'm looking forward to buying from them again.,neutral
Product came exactly how I imagined,"Product came exactly how I imagined. Centered, colors were right, no major errors. Would definitely order again.",negative
super super great to work with,"Date of experience: March 06, 2020",neutral
Professional staff and service!,"Date of experience: March 04, 2020",neutral
Quick and easy to work with the team.,"Date of experience: March 02, 2020",neutral
very attentive and quick turn around!!,"Date of experience: March 02, 2020",neutral
Great communication,"Date of experience: February 28, 2020",neutral
Awesome customer experience,"Quick, professional service AND they delivered the product ahead of schedule! What more could I ask for?",neutral
From Order to Door step in 7 days,"I needed some flash drives to provide data to clients, and wanted to leave the clients with something that would remind them of who had been their attorney.

I worked with Sophia, had a rough art idea, she presented me with an option that allowed me to put even more information on the flash drives. After placing order, she followed up with me, and I received them them in 7 days from time I placed order.

While I did not need the flash drives this quickly, knowing they can turn these around that quickly, I will keep in mind if I ever have any additional needs.",negative
Mark was very responsive and helpful!,"Date of experience: February 25, 2020",neutral
attentive customer service,Very attentive customer service. Product arrived quickly and the quality was as expected.,neutral
My representative was able to answer…,My representative was able to answer questions from the start of the process until the product was delivered. I look forward to doing business with Flashbay again.,neutral
Just what I needed,Just what I needed. Just what I got.,neutral
Exceptional sales service and on-time…,Exceptional sales service and on-time delivery,neutral
Yudi was very professional and…,Yudi was very professional and responded very quickly.,neutral
Great Customer Service and Product!,"Date of experience: February 11, 2020",neutral
Nick was beyond a 5 star rating,Nick was beyond a 5 star rating! I never had to wait for a reply to email or a call back. He was ALWAYS there!,neutral
Quick Response,"Needed a quick turnaround, FlashBay came through.",neutral
Very responsive and accommodating!,"Date of experience: February 05, 2020",neutral
"Thank you, Sophia",Sophia really went the extra mile to keep my order with pre-loaded data on schedule.,neutral
Very friendly with quick responses.,"Date of experience: January 22, 2020",neutral
Great Quality,"We get nothing but great quality products, pricing and customer service from Flashbay. We are a repeat client and will continue to be.",negative
Great product and service.,"Date of experience: January 21, 2020",neutral
Fast and Easy!!,"Date of experience: January 21, 2020",neutral
Great service,"Date of experience: January 17, 2020",neutral
Fast Service and excellent product,"Date of experience: January 10, 2020",neutral
Thanks to Jeremy for his help!,"Date of experience: January 06, 2020",neutral
Product was just what i expected and…,Product was just what i expected and delivered promptly.,neutral
5 Star,Melvin was right there and very quick for everything I needed.,neutral
Quality product and great service,"I ordered two sets of 25 5k mAh charge banks. The design team and sales were swift to respond. My order was processed promptly. They did combine both sets into one shipping fee. I did ask that the order of 2 sets of 25 meet the 50 unit pricing (saving over $2 ea.) but no dice. Alas, I am quite satisfied with the finished product.",neutral
Giovanni provided very personal service.,"Date of experience: November 27, 2019",neutral
Great customer services,"Date of experience: November 26, 2019",neutral
Prompt information & the order received…,Prompt information & the order received was as expected.,neutral
great service and product,"Date of experience: November 19, 2019",neutral
Great Service !!,"Date of experience: November 18, 2019",neutral
Prompt turnaround - good follow up,Prompt turnaround,neutral
Very thorough customer service,Very thorough customer service. Quick to respond to all my questions. Timely delivery of a quality product.,neutral
Great service and follow up,"Date of experience: November 09, 2019",neutral
Excellent service,"Date of experience: November 08, 2019",neutral
very easy and efficient with Rachel,"Date of experience: November 07, 2019",neutral
Great Customer Service and Fast Shipping,"Date of experience: November 06, 2019",neutral
Great product great service.,"Date of experience: October 31, 2019",neutral
My representative gave 5 star customer…,My representative gave 5 star customer service. A++++,neutral
Great service and was very fast,"Date of experience: October 30, 2019",neutral
great level of service,"Date of experience: October 30, 2019",neutral
Melvin was very responsive.,"Date of experience: October 29, 2019",neutral
Fantastic service and fast shipping.,"Date of experience: October 28, 2019",neutral
My Flashbay account representative,"My Flashbay account representative, Matthew Hutton, was very patient and understanding with me and my business. He went out of his way to get me the product I wanted and at a price that was reasonable. He has my future business.",neutral
Great product and customer service.,"Date of experience: October 18, 2019",neutral
Friendly and fast response.,"Date of experience: October 15, 2019",neutral
Awesome Service great product!,"Date of experience: October 10, 2019",neutral
Rachel is a great help!,"Date of experience: October 09, 2019",neutral
Beat expectation in product quality,"Beat expectation in product quality, and delivery time.",neutral
Sophia immediately helped me out with…,"Sophia immediately helped me out with the exact specs / and design I needed. We put this order in very last minute to have completed within 4 business days and it was processed and shipped in 2 days!!!

Sophia rules give her a raise",neutral
For Medical History,"I purchased the slap bracelet to put medical history on. Every time you go to the Dr. they have multiple forms and give you a short time to complete.
This usb can be given for them to print off - no more missed surgeries or meds.",negative
Great service with fast delivery,"Date of experience: September 26, 2019",neutral
SOPHIA WENT ABOVE AND BEYOND TO NOT…,SOPHIA WENT ABOVE AND BEYOND TO NOT ONLY MAKE SURE MY ORDER WAS PLACED IN A TIMELY MANNER BUT THAT IT WAS PROCESSED AND ARRIVED AT THE TIME REQUESTED.,negative
Product for UIC Training,"I felt that my sales rep helped me get what I was wanting and within my budget.
Product was shipped on time and looked very crisp and professional.",neutral
great service,"Date of experience: September 23, 2019",neutral
Awesome help with our needs.,"Date of experience: September 23, 2019",neutral
Fast turnaround time,Fast turnaround time. Product exactly as described.,neutral
good work and custer service,"Date of experience: September 17, 2019",neutral
Chris provided exemplary customer…,Chris provided exemplary customer service. I actually used his example in a corporate training I recently conducted.,neutral
Quick Response,"Quick Response, order arrived earlier than expected.",neutral
Matt was quick to response and…,Matt was quick to response and understood my needs.,neutral
Great customer service.,"Date of experience: September 12, 2019",neutral
Customer service is exceptional,Customer service is exceptional. Very fast turnaround time.,neutral
Great customer service & a great price!,"Date of experience: September 09, 2019",neutral
Max was very helpful and professional.,"Date of experience: September 09, 2019",neutral
Great Service and product.,"Date of experience: September 06, 2019",neutral
Sophia did a marvelous job.,"Date of experience: September 04, 2019",neutral
Great service and product.,"Date of experience: August 29, 2019",neutral
Rachel was a great help.,"Date of experience: August 28, 2019",neutral
Great service and speedy shipping,"Joseph was stellar in his responsiveness, especially given I was placing a last-minute order at the end of the day on a Friday. Flash drives arrived 2 days early and as expected. Only minor issue is that the Trix model is a bit tricky to twist open.",negative
My experience was fasntastic,"Date of experience: August 20, 2019",neutral
Great communication and fast delivery!,"Date of experience: August 19, 2019",neutral
Kyle Bell was very helpful and…,Kyle Bell was very helpful and responded to my request very quickly. My order came very quickly with no problems.,negative
Excellent,The product was exactly what I wanted. Customer service went above and beyond from ordering to shipping and follow up after the product arrived. Will order again.,neutral
DO NO TRUST THIS COMPANY!!!,"DO NO TRUST THIS COMPANY!!!
Terrible company. Appalling customer service. Sent me a broken and badly damaged item and refused to refund my money. Had to get bank involved in the end due to such terrible customer service.",negative
Good pricing and fast delivery,"Date of experience: August 09, 2019",neutral
Items arrived quickly and looked great!,"Date of experience: August 07, 2019",neutral
Satisfied,Our representative responded very quickly in response to my request for a quote. I needed changes on my logo which was edited and a new proof came out very quickly. Proofs were sent after editing and I knew exactly what I was getting. Manufactured and shipped extremely fast.,neutral
Fast and accurate,"Fast and accurate, will continue with Flashbay",neutral
Always do what they say they will,Always do what they say they will. Respond quickly to questions or requests. Deliver on time with a quality product. What more can you ask?,neutral
Fast service and great products!,"Date of experience: August 02, 2019",neutral
Quick response time and step by step…,Quick response time and step by step communication regarding the progress/delivery,neutral
very easy to work with.,"Date of experience: July 31, 2019",neutral
Kentuckiana K-9,Very professional and polite. Customer service is second to none. Matt actually cared and stayed in touch throughout the transaction. You can’t go wrong doing business with this company. Extremely satisfied. Bob Dover,negative
Review,"I requested a few changes and they were handled with patience and professionally. The only negative aspect was the ""pressure sales"" tactic of the statement that the order needed to be placed right away.",negative
Flashbay exceeded our expectations…,Flashbay exceeded our expectations every step of the way. A highly professional company. We will use them again....,neutral
Delivered what was expected,Delivered what was expected. Very professional.,neutral
I did appreciate Kyle Bells' service,"I did appreciate Kyle Bells' service. The only thing that I am disappointed about is the fact that the order needed to be pre-paid. No where does it mention this. The company I work for is a huge company and we are accustomed to an invoice sent to us for payment after the order is placed. I would think that as big as Flashbay is, you could set-up some invoice system.",negative
Great customer service,"Date of experience: July 22, 2019",neutral
Alex,"Alex, provided extremely quick responses and service. The product were above our expectations.",neutral
Good supplier,They gave me what I wanted and were quick,neutral
Excellent customer support,"Date of experience: July 19, 2019",neutral
From start to finish,"From start to finish, my rep walked me through adjusting my account online and fulfilling my order much quicker than I anticipated. The items I ordered were just as described and pictured in the proofs. I look forward to continuing to work with Flashbay on all my company's flash stick needs.",neutral
"Quick, professional, and great services!","Date of experience: July 17, 2019",neutral
happy customer,"Date of experience: July 17, 2019",neutral
Fast and excellent service.,"Date of experience: July 17, 2019",neutral
Quick response time with options with…,Quick response time with options with our logo on it. I couldn't believe how fast the process went from first contact to the finished product showing up at our door!,neutral
Easy to order and a very quick deivery.,"Date of experience: July 10, 2019",neutral
Open to working with me,Met competitors pricing and beat their delivery time.,neutral
Great Service and Product!,"Date of experience: June 30, 2019",neutral
Excellent service and great quality.,"Date of experience: June 21, 2019",neutral
Great product as usual,"Date of experience: June 21, 2019",neutral
Nick - Flashbay Rep,"Nick, Was very quick in responding to my needs and then following up to make sure that there were no errors.",negative
High quality good looking USBs!,"Date of experience: June 18, 2019",neutral
What I needed was produced quickly and…,"What I needed was produced quickly and got to me when needed, even if it was a quick turnaround!
Prompt responses and all went very smoothly.",neutral
Fast,"Fast, accurate, professional.",neutral
Nick was the ultimate professional in…,Nick was the ultimate professional in how he handled pricing and detail throughout this 6-month long project!,neutral
Quality and Efficient,Work was quick and quality and the shipment arrived faster than I anticipated. Pricing and timing beat anything I could find locally.,neutral
Excellent Service!,"Date of experience: June 10, 2019",neutral
Great customer service & feedback!,"Date of experience: June 07, 2019",neutral
Customer service was outstanding!,"Date of experience: June 06, 2019",neutral
Professional service and quality…,Professional service and quality products.,neutral
Always quick and efficient service.,"Date of experience: June 04, 2019",neutral
Great customer service.,"Date of experience: May 22, 2019",neutral
Fast and reliable.,"Date of experience: May 22, 2019",neutral
Stress-free!,"Nothing to fault! High-quality products at low prices. Excellent customer service from our very reliable account manager, Roque. Even with the 12-hour time difference, I knew I would have received emails when I arrived to work the next morning -- so there's no time lost! There's no doubt that my organisation will continue to use Flashbay for all our future requirements.",negative
We needed the order on short notice,"We needed the order on short notice, and received the usb drives earlier than expected! Lana was in constant contact throughout the whole process",neutral
I had a hard deadline....,"I had a hard deadline. Flashbay said they could deliver the day I needed them, we received them a day early!!!!",negative
Great service!,"Date of experience: May 14, 2019",neutral
Very Good...,Melvin was very compliant and patient with allowing me to get the answers from my bosses in a timely fashion. He was always reachable and allowed us to get our order under the time constraint we had.,neutral
Great service and quality products.,"Date of experience: May 08, 2019",neutral
Professional and helpful.,"Date of experience: May 08, 2019",neutral
EXCELLENT SERVICE!!!,"Date of experience: May 03, 2019",neutral
Very easy to order,"Date of experience: May 03, 2019",neutral
Excellent service!!!,"Date of experience: April 30, 2019",neutral
Quick response and delivery time..,Quick response and delivery time... quality product,neutral
The product and service are excellent.,"Date of experience: April 25, 2019",neutral
Timely Service,"Quick responses, quick mock up and quick production and delivery.",negative
GREAT WORK,"Quick, Accurate, Professional, High Quality!",neutral
excellent service!!!,"Date of experience: April 11, 2019",neutral
Delivered what we asked for.,"Date of experience: April 10, 2019",neutral
Great service,"Date of experience: April 09, 2019",neutral
The customer service was exceptional.,"Date of experience: April 09, 2019",neutral
Great product and great service,"Date of experience: April 02, 2019",neutral
Mazak Optonics,"Fast,easy and always right.",neutral
Great service and good products.,"Date of experience: March 28, 2019",neutral
Perfect Product & Service!!,"Date of experience: March 19, 2019",neutral
great product!,"Date of experience: March 18, 2019",neutral
FAST AND KNOWLAGEBLE,"Date of experience: March 18, 2019",neutral
Great product,"Date of experience: March 16, 2019",neutral
Excellent service,"Date of experience: March 13, 2019",neutral
Our Flashdrive were done in less than a…,Our Flashdrive were done in less than a week. process was smooth and customer service is A plus.,neutral
The process from start to finish was…,The process from start to finish was fast! Jill was quick in responding to my emails and very professional.,neutral
Fast,"Fast, accurate and attentive service. Large quantity order delivered faster than estimated date of delivery. Accuracy of graphics and quality of product exactly as expected.",neutral
Highly recommend!,"Date of experience: March 01, 2019",neutral
Everything went great!,"Date of experience: February 26, 2019",neutral
Great Service and Excellent Quality!,"Date of experience: February 26, 2019",neutral
Very Happy with the Product,"Date of experience: February 25, 2019",neutral
Great Products and services,"Date of experience: February 22, 2019",neutral
Great service and high quality products!,"Date of experience: February 21, 2019",neutral
Great product and service.,"Date of experience: February 20, 2019",neutral
Everything was great.,"Date of experience: February 20, 2019",neutral
"Sophia was very courteous,helpful and…","Sophia was very courteous,helpful and timely in the responses.",neutral
Nick did a great job!,"Date of experience: February 20, 2019",neutral
Great customer service & product.,"Date of experience: February 20, 2019",neutral
Quick and efficient.,"Date of experience: February 20, 2019",neutral
Terrific customer service,"Date of experience: February 18, 2019",neutral
When I needed my order quick,"When I needed my order quick, Flashbay delivered.",neutral
Extremely attentive and detail…,Extremely attentive and detail oriented. Customer service at its finest!,neutral
Initially,"Initially, was not able to complete a purchase to meet the needs of our small agency based upon pricing. After reviewing different options and speaking with Rachel, we were able to find an option that met our needs.",neutral
Great product and exceptional service!,"Date of experience: February 06, 2019",neutral
My salesrep,"My salesrep, Nick Mahaleris was very knowledgeable on the products and provided world class customer service!",neutral
they delivered¡ No delays no hasle no…,they delivered¡ No delays no hasle no nothing. And the product was up to my expectation¡,negative
Great service,"Date of experience: January 31, 2019",neutral
Prompt & Professional!,"Date of experience: January 31, 2019",neutral
Loved their work,"Date of experience: January 29, 2019",neutral
very professional and very helpful!,"Date of experience: January 29, 2019",neutral
Great Service!,"Date of experience: January 28, 2019",neutral
no reservations,all went smoothly from start to finish,neutral
Loved working with Flashbay!,"Date of experience: January 23, 2019",neutral
Great Customer Service from Katherine,I worked with Katherine. She was very informative and very patient. I wasn't exactly sure which flash drive I wanted and she helped me picked out the perfect one without feeling rushed. Great customer service. I would absolutely buy from Flashbay again.,negative
Speedy response to any changes in order.,"Date of experience: January 21, 2019",neutral
The customer service is excellent.,"Date of experience: January 18, 2019",neutral
Very good service,"Date of experience: January 18, 2019",neutral
Give us a try!,"The Home Warehouse is a delivery service that will drop off your items, after the buyer bids on it. Give us a try @ THoWH.com",negative
Excellent all around!,"Date of experience: January 16, 2019",neutral
Easy process and fast response,"Date of experience: January 15, 2019",neutral
My orders are always done correctly and…,My orders are always done correctly and quickly.,neutral
Katherine was very pleasent and…,Katherine was very pleasent and professional.,neutral
Our FlashBay rep was quick and…,Our FlashBay rep was quick and attentive to our needs. We'll be ordering again very soon!,neutral
FAST shipping!,"Date of experience: January 08, 2019",neutral
Order was accurate and shipped in a…,Order was accurate and shipped in a timely manner.,neutral
Our sales rep was very timely and…,Our sales rep was very timely and attentive. Product was exactly what I expected.,neutral
Great service and product.,"Date of experience: January 02, 2019",neutral
Communication and organization was on…,"Communication and organization was on point, i received the order faster than expected and everyone got them in time for christmas!",neutral
You Nust Check These Guys Out!,Quality products and quick turnaround. Never have issues when dealing with Flashbay!,neutral
Trustworthy custom USB drives supplier.,"Date of experience: December 19, 2018",neutral
"Excelent product, service and delivery time","Excelent product, service and delivery time! We will definitively work with you again.",neutral
Great selection and follow up,"Date of experience: December 17, 2018",neutral
Super easy and professional,"Date of experience: December 14, 2018",neutral
Nice item,Item as ordered. Extremely fast!,neutral
Melvin was great to work with in…,"Melvin was great to work with in getting our order placed! No issues, no complaints here.",negative
Attentive,Always attentive to the customer’s needs. And fast responses from Pamela.,neutral
Got the Product I ordered in a very…,Got the Product I ordered in a very fast time frame,neutral
Flashbay Review,"Erik was instrumental from beginning to end getting us an order 1,250 f;ash with presentation tins. He responded promptly when ever I emailed Him and we received our shipment right on time",neutral
Flashbay did a great job!,"Date of experience: December 07, 2018",neutral
Great Service,Flashbay is fast and reliable.,neutral
Very fast service,Very fast service. The drives arrived quickly and were 100% correct.,neutral
Quick shipping and good service.,"Date of experience: November 29, 2018",neutral
Product was delivered as expected,"Date of experience: November 27, 2018",neutral
Great sales and after sales support,"Date of experience: November 26, 2018",neutral
I couldn't be happier,"I couldn't be happier. From the very first inquiry, the response was fast and complete with everything (and more) that I needed to place an order. The proof for printing on the items was almost immediate and exactly what we wanted. Delivery was also prompt and complete. First rate service and quality!",negative
Melvin helped me get the most out of…,Melvin helped me get the most out of our advertising dollars.,neutral
Great company to do business with.,"Date of experience: November 20, 2018",neutral
If you're on the fence about ordering DON'T be!,"This was our first time ordering any dispensable type of digital media storage. Our rep made the layout and ordering process an absolute breeze, and they were here from day of order to delivery in 7 days (including a weekend). We couldn't be happier with our experience and will not hesitate to order from this company again!",negative
"Great experience, thank you!","Date of experience: November 19, 2018",neutral
The look great!,"Date of experience: November 17, 2018",neutral
Great Product Great Service,Been purchasing from Flashbay for years now. Their product offerings are unparalleled. The experience from the design phase to ordering and customer service is A+,neutral
speedy sufficient excellent service,"Date of experience: November 15, 2018",neutral
Great fast service!,"Date of experience: November 15, 2018",neutral
yes is awsome,"Date of experience: November 10, 2018",neutral
Great response time and quality product.,"Date of experience: November 09, 2018",neutral
Max was outstanding to work with!,"Date of experience: November 09, 2018",neutral
Fast service and excellent product,"Date of experience: November 06, 2018",neutral
Quick response time,"Quick response time, product as expected.",neutral
They went above and beyond to help us!,"Date of experience: November 05, 2018",neutral
Great Customer Service!,"Even when my contact person was on vacation, their response was timely. I ended up working with 3 people and they all where able to pick up right where the other person left off. We received on product quickly and exactly what we ordered. This is our second order and when we need product in the future we will use them again.",neutral
Long time user,Long time user. I refer them all the time.,neutral
Fast and Easy Ordering,"The representative was quick to respond, get a quote and ship my items.",neutral
They were fast and professional!,"Date of experience: November 02, 2018",neutral
Great service,"Date of experience: November 02, 2018",neutral
Vanessa was accommodating and…,Vanessa was accommodating and informative!,neutral
U.S.A. and fast service !!!,"Fast, courteous service! I was on the fence about another company that had a slightly lower cost but when I did the research, Flashbay uses only USA made drives and I got a 4MB size for slightly more than the 2MB not-made-in-USA drive. No brainer!",negative
Good experience with Flashbay,"Customized the color and logo. Came in high quality both inside and out.

We had bad experience with other USB company, and some of those ordered USB could lose or damage your uploaded files. Switched to Flashbay and uploaded same type of files to roughly 50 USB drives. No issue so far.",negative
Excellent service and prompt response,"Date of experience: October 29, 2018",neutral
Excellent service.,"Date of experience: October 29, 2018",neutral
Product looks great!,"Date of experience: October 26, 2018",neutral
Great customer service,"Date of experience: October 24, 2018",neutral
Excellent service,"Date of experience: October 24, 2018",neutral
Great product.....great service!,"Date of experience: October 24, 2018",neutral
Pamela is quick to respond back with…,Pamela is quick to respond back with answers to my question. The shipment was executed quickly?,neutral
They look great.,"Date of experience: October 17, 2018",neutral
Hau was very helpful!,"Date of experience: October 11, 2018",neutral
Great Service,"Fast, accurate service. Looking forward to working with Flashbay again, in the future.",neutral
Florabama,As advertised,neutral
High quality and very professional team,"Date of experience: October 03, 2018",neutral
Quick turn around!!,"Orders were quick, accurate and simple.",neutral
On-time and good product.,"Date of experience: September 27, 2018",neutral
My disappoint is that your product is…,My disappoint is that your product is not made in the USA.,negative
Great prices and customer service!,"Date of experience: September 24, 2018",neutral
Your description says it all!,"Date of experience: September 21, 2018",neutral
Quick delivery when I needed it,"Date of experience: September 20, 2018",neutral
We could not believe how fast we…,We could not believe how fast we received our customized products. Kareen did an exceptional job assisting and answering all of our questions.,neutral
Wonderful buying experience!,"Date of experience: September 17, 2018",neutral
They are responsible and honest,"Date of experience: September 15, 2018",neutral
Very friendly and helpful,"Date of experience: September 14, 2018",neutral
Great service from start to finish!,"Date of experience: September 14, 2018",neutral
Excellent customer service.,"Date of experience: September 11, 2018",neutral
Highly recommend this company,This was the easiest and most professional transaction I have had in all of my 68 years. Will know tonight when I get home from work if the product matches the service. I have no doubt the quality of product matches the quality of service.,negative
The thing that keeps me from doing 5…,"The thing that keeps me from doing 5 stars is that you have to go through a rep to order, there isn't a way to order directly online.",neutral
First-rate Customer Service,"The customer service and follow-up were first rate!
This is my second purchase from Flashbay and it won't be our last.",neutral
Communicative,Communicative. Listened to our request. Attentive to exact color choice. Proof sent right away. Quick response time with shipping. We’ll do business with them again.,neutral
Flashbay was excellent!,"Date of experience: September 05, 2018",neutral
Quick responses and sharp looking logos.,"Date of experience: September 04, 2018",neutral
Service and product was awesome!,"Date of experience: August 29, 2018",neutral
Very easy to work with.,"Date of experience: August 29, 2018",neutral
thanks for the follow up!,"Date of experience: August 28, 2018",neutral
Very professional and committed!,"Date of experience: August 28, 2018",neutral
Great product and easy to work with.,"Date of experience: August 25, 2018",neutral
They were very nice and informative…USB Flashbay are great,They were very nice and informative when I placed the order. It came very quickly with no mistakes,negative
Great customer service!,"Date of experience: August 21, 2018",neutral
A great partner time and again,"Reliable, affordable, and lightning fast delivery.",neutral
Max is great!,"Date of experience: August 15, 2018",neutral
This re-order went seamless even though…,This re-order went seamless even though we had not ordered from them in a couple of years.,neutral
They are a joy to work with!,"Date of experience: August 15, 2018",neutral
Fast!,Prompt order with quality service. Very fast delivery!,neutral
Kirby was fast and organized.,"Date of experience: August 13, 2018",neutral
Drives were delivered ahead of schedule…,Drives were delivered ahead of schedule and as described.,neutral
I loved working with you all!,"Date of experience: August 09, 2018",neutral
Great service and quality!,"Date of experience: August 09, 2018",neutral
Efficient and Professional Customer Service,Flashbay and Sabrina have been nothing short of amazing to work with and their products have been equally amazing. This is our fourth order with them and each time it has been perfect. This last order was unexpected and we needed it in a rush; Sabrina and Flashbay made it happen. We look forward to doing business with them in the future.,negative
Drives look great!,"Date of experience: August 03, 2018",neutral
Brianna was an exceptional help to us!,"Date of experience: August 02, 2018",neutral
Great experience,"Price right, quality product, fast service. Can't ask for more.",neutral
Immediate replies and good quality,"Date of experience: August 01, 2018",neutral
Friendly and easy service from Max!,"Date of experience: August 01, 2018",neutral
"Pretty straight-forward, but quote was misleading",Quote was misleading; but otherwise everything went smooth and as expected.,negative
Very pleased with the product,"Date of experience: July 25, 2018",neutral
I had samples in had with in 2 days,"I had samples in had with in 2 days, and completed the order before I even received the other companies sample drives.",neutral
Prompt,Met the delivery deadline with time to spare!,neutral
Great experience.,"Date of experience: July 20, 2018",neutral
This was my second order with Flashbay,"This was my second order with Flashbay. My sales rep, Sophia, went out of her way to keep me informed as to the status of my order. The shipping was fast and the order arrived exactly as expected. I will be ordering from Flashbay again!",neutral
Awesome service.,"Date of experience: July 17, 2018",neutral
Great experience and products!,"Date of experience: July 17, 2018",neutral
Very useful!,"Date of experience: July 13, 2018",neutral
Very quick to respond and deliver.,"Date of experience: July 10, 2018",neutral
Sophia was great!,"Date of experience: July 09, 2018",neutral
Perfect experience.,"I couldn't be happier with the service we received from Matt Kusanovich. I requested a quote online, and the next day I received a box of sample USBs that exposed us to options we never dreamed of. The whole process took very little effort and time and I'm very pleased with the end result.",neutral
Great Service and a Great Product,"Date of experience: July 09, 2018",neutral
Great experience on a large order!,"Date of experience: July 06, 2018",neutral
Easy and quick to work with.,"Date of experience: July 06, 2018",neutral
Jennifer was so professional and polite…,Jennifer was so professional and polite to work with while placing my order. The flashbays were exactly as ordered. Consistent promo art and quality.,neutral
"Good Service, Straight Forward Setup","The service rep I worked with, Riley, told us directly what was needed to order and set up an account. Ordering was simple to the point I'd nearly look forward to it when we need to restock/use as promotional time.",neutral
The product was designed and delivered…,The product was designed and delivered expediently and professionally. We are looking forward to conducting business with Flashbay in the future.,neutral
Fast and prompt delivery,"Fast and prompt delivery, Art on USB memory stick as advertised",neutral
Great service and great result!,"Date of experience: June 15, 2018",neutral
Erik at Flashbay helped me a lot with…,Erik at Flashbay helped me a lot with sending me different ideas and responded very quickly! He also sent me an email just to verify that I received my shipment. I will be using Flashbay again!,neutral
Excellent customer service and product.,"Date of experience: June 13, 2018",neutral
Very prompt service.,"Date of experience: June 12, 2018",neutral
Very Professional and quick service,"Date of experience: June 11, 2018",neutral
Great product and very timely!,"Date of experience: June 08, 2018",neutral
Edison was very professional,Edison was very professional. He was there all the time through the process to close the business. He responded all email about my enquries in short amount of time.,neutral
Attentive customer service and very…,Attentive customer service and very quick delivery....here in 6 days.,neutral
The sales person I worked with was…,"The sales person I worked with was great and understanding of my needs. I didn't have the best quality image for them so I waited until the last possible minute to order. Unfortunately, I didn't get my image redone but they were able to suggest the material that the current image would look best on and I still got the thumb drives in plenty of time for my conference. The price for the laser engraved thumb drives was still cheaper than getting regular store bought thumb drives! How can you go wrong!!",negative
Shipment came fast,"Date of experience: June 04, 2018",neutral
Matt Kusanovich and team were superb!,"Date of experience: June 04, 2018",neutral
Melvin was exceptionally patient as I…,Melvin was exceptionally patient as I made changes in my order and notified me quickly of all details.,neutral
Fast and reliable,"Date of experience: June 03, 2018",neutral
Good service and fast delivery.,"Date of experience: May 24, 2018",neutral
Matt was very helpful.,"Date of experience: May 22, 2018",neutral
Prompt courteous service- great product,"Date of experience: May 21, 2018",neutral
Excellent service!,"Date of experience: May 17, 2018",neutral
Flashbay is highest quality on the market,"Flashbay is always on-time, and generally even early. Their USB's are high quality and the fail rate is almost non-existent (a rarity in the world of high-volume usb hardware). In addition, their sales people are scarily prompt with responses to all requests for quotes or other information. Not sure why you'd use anyone else.",negative
Wonderful fast service!,"Date of experience: May 15, 2018",neutral
I ordered power banks for my employees,I ordered power banks for my employees. I found the website easy to use. I very quickly got a quote and mock up of my customized item with our artwork. They were able to deliver in time for our event.,neutral
This is my second time ordering with…,This is my second time ordering with Flashbay. The prices are competitive and I got the items I needed just in time so the turnaround time is not long. I will definitely be ordering again!,negative
Jill Kavanagh and Flashbay are great!,"Our sales rep, Jill Kavanagh, was extremely professional and thorough throughout the ordering/purchase process. She provided timely assistance the whole way through. She sent updated quotes/estimates, proofs, and invoices as needed. SoundExchange will absolutely to return to Flashbay for future purchases.",neutral
Satisfied customer,"This is now the third order I have placed for custom USB drives from Flashbay. Customer service has been responsive, the orders have been delivered quickly, and I have had no problems with the quality of the drives.",negative
Great costumer service!,"Date of experience: May 10, 2018",neutral
Great customer service and very timely.,"Date of experience: May 09, 2018",neutral
We Have had nothing but great service…,"We Have had nothing but great service with Sophia at Flashbay.
Thank you.",negative
Flashbay is highly recommended,"Flashbay is highly recommended! Their products are only exceeded by their speed and professionalism in customer service.

I could not ask for better service and quality of product.

Don't look elsewhere - they are the ""real deal""...",negative
great service!,"Date of experience: May 09, 2018",neutral
Great Service and Product.,"Date of experience: May 03, 2018",neutral
Order was received very quickly,"Order was received very quickly, and all items were excellent!!!!! Will buy again.",neutral
Very smooth process,Very smooth process. Very receptive to my questions.,neutral
Fast service,Fast service. Quality product.,neutral
Quality Service,They provided quick and quality service!,neutral
Fast and professional.,"Date of experience: April 30, 2018",neutral
Excellent Service Thanks Riley,"Date of experience: April 26, 2018",neutral
No nonsense,No nonsense; good product.,negative
Product received very quickly and was…,Product received very quickly and was exactly as ordered.,neutral
Excellent to work with.,"Date of experience: April 23, 2018",neutral
Kirby exceeded my expectations,Kirby exceeded my expectations! He communicated with me enough to keep me informed but not enough to be obnoxious. My order was processed in a timely manner and met advertised specifications.,negative
excellent vedor,"Date of experience: April 17, 2018",neutral
Awesome to work with,Whenever I need new USB's I just email Jill and it done ASAP.,neutral
Fast Service and Accurate,Our order was exactly what we needed.,neutral
Great product and very helpful business.,"Date of experience: April 09, 2018",neutral
Great product and customer service!,"Date of experience: April 03, 2018",neutral
Wonderful experience,Worked with Erik and he was a superstar. Attentive and professional throughout the entire process.,neutral
Sabrina w/Flashbay was awesome.,"Date of experience: March 15, 2018",neutral
Very happy with the product we received.,"Date of experience: March 13, 2018",neutral
Melvin was super helpful.,"Date of experience: March 09, 2018",neutral
Quotes and delivery was extremely…,Quotes and delivery was extremely prompt. The order was also accurate.,neutral
